,usaf,name,state,lat,lon
700,720631,MARLBORO COUNTY JETPORT H E A,SC,34.617,-79.733
701,720629,JACK BARSTOW AIRPORT,MI,43.663,-84.261
702,720632,SUMMERVILLE AIRPORT,SC,33.063,-80.279
704,720633,HARTSVILLE REGIONAL AIRPORT,SC,34.4,-80.117
705,720626,PAMPA MESA VISTA AIRPORT,TX,35.883,-101.033
706,720628,CLARENCE E PAGE MUNICIPAL AIR,OK,35.483,-97.817
707,720623,ELIZABETHTON MUNI,TN,36.371,-82.173
708,720622,BOWIE MUNI,TX,33.602,-97.776
709,725253,PORTAGE COUNTY AIRPORT,OH,41.217,-81.25
712,720624,MADISON MUNICIPAL AIRPORT,SD,44.016,-97.086
713,720627,STIGLER REGIONAL AIRPORT,OK,35.283,-95.1
714,720625,BLACKWELL TONKAWA MUNICIPAL A,OK,36.75,-97.35
715,723756,SEDONA AIRPORT,AZ,34.85,-111.783
716,701338,CHEVAK AIRPORT,AK,61.533,-165.583
717,720617,HOUSTON EXECUTIVE AIRPORT,TX,29.8,-95.9
718,749179,HOLLISTER MUNICIPAL AIRPORT,CA,36.9,-121.417
719,749230,TELLER AIRPORT,AK,65.233,-166.35
720,720479,MONETT MUNICIPAL AIRPORT,MO,36.9,-94.017
721,720589,SHAWANO MUNICIPAL AIRPORT,WI,44.783,-88.55
722,720616,BRANSON AIRPORT,MO,36.533,-93.2
723,701337,WALES AIRPORT,AK,65.617,-168.1
724,720615,COLUMBIA AIRPORT,CA,38.033,-120.417
725,720612,BEAUFORT COUNTY AIRPORT,SC,32.412,-80.634
726,722866,SAN BERNARDINO INTL,CA,34.095,-117.235
727,720577,RUSK COUNTY AIRPORT,TX,32.15,-94.85
730,720601,AIKEN MUNICIPAL AIRPORT,SC,33.65,-81.683
731,720602,BARNWELL REGIONAL AIRPORT,SC,33.25,-81.383
732,720605,CHERAW MUNICIPAL LYNCH BELLIN,SC,34.717,-79.95
733,720611,SUMTER AIRPORT,SC,34.0,-80.367
